"Block","Tank.Unique","Pred","Hatch","Res","Age.DPO","Age.FromEmergence","SVL.initial","Tail.initial","SVL.final","Mass.final","Resorb.days"
4,40,"L","E","Lo",89.68,55.68,18.34,5.276,18.868,0.4,4.44
4,41,"C","L","Lo",104.466666666667,70.4666666666667,17.61,5.49666666666667,17.8433333333333,0.327,4.8
4,43,"L","E","Hi",45.1333333333333,11.1333333333333,18.87,5.97333333333333,19.21,0.406,4.66666666666667
4,44,"L","L","Lo",49.1111111111111,15.1111111111111,21,7.25555555555556,21.5333333333333,0.63,5
4,45,"C","E","Lo",112.577777777778,78.5777777777778,18.1066666666667,6.09111111111111,18.1644444444444,0.349555555555556,4.97777777777778
4,46,"L","L","Hi",48.5,14.5,21.725,6.9125,22.1,0.6975,4.875
5,51,"L","E","Lo",43.3478260869565,9.34782608695652,19.2,5.49130434782609,19.6565217391304,0.456086956521739,4.47826086956522
5,52,"C","L","Hi",40.6341463414634,6.63414634146341,17.780487804878,4.90487804878049,18.3048780487805,0.358780487804878,3.68292682926829
5,53,"C","E","Hi",46.7234042553191,12.7234042553191,18.1340425531915,5.65106382978723,18.5063829787234,0.371063829787234,3.82978723404255
5,54,"L","E","Hi",46.1388888888889,12.1388888888889,19.0722222222222,5.65,19.5222222222222,0.445555555555556,4.02777777777778
5,55,"NL","E","Hi",38.1111111111111,4.11111111111111,16.8888888888889,4.94444444444444,17.0222222222222,0.293333333333333,3.44444444444444
5,56,"L","L","Lo",53.8888888888889,19.8888888888889,17.7027777777778,4.41111111111111,17.9944444444444,0.33,4.02777777777778
5,57,"C","L","Lo",87.8863636363636,53.8863636363636,17.4772727272727,5.61363636363636,17.7431818181818,0.325454545454545,4.36363636363636
5,58,"L","L","Hi",47.65,13.65,18.37,4.58,18.94,0.38,3.725
5,59,"C","E","Lo",128.225,94.225,17.315,6.09,17.5425,0.33075,5.6
5,60,"NL","L","Lo",49.0625,15.0625,17.95625,5.29375,17.875,0.3525,3.375
6,62,"L","L","Lo",61.6521739130435,27.6521739130435,19.2086956521739,5.68695652173913,19.5130434782609,0.42304347826087,4.26086956521739
6,64,"C","L","Hi",66.6,32.6,17.9888888888889,5.44,18.2222222222222,0.358,4.22222222222222
6,65,"L","E","Lo",48.2,14.2,19.8466666666667,6.48,20.3333333333333,0.467333333333333,5.06666666666667
6,66,"L","L","Hi",48.5,14.5,19.0823529411765,5.20588235294118,19.2264705882353,0.412647058823529,3.91176470588235
6,68,"C","E","Hi",57.9555555555556,23.9555555555556,18.1377777777778,5.3,18.4355555555556,0.360444444444444,4.06666666666667
6,69,"C","L","Lo",71.7674418604651,37.7674418604651,18.0651162790698,6.1046511627907,18.5511627906977,0.349302325581395,4.53488372093023
6,70,"L","E","Hi",50.1538461538462,16.1538461538462,19.9769230769231,7.45384615384615,20.5230769230769,0.506153846153846,4.23076923076923
6,71,"C","E","Lo",75.027027027027,41.027027027027,17.3837837837838,5.07567567567568,17.8135135135135,0.315135135135135,4.32432432432432
7,74,"L","E","Lo",61.7692307692308,27.7692307692308,18.3730769230769,5.67307692307692,18.7423076923077,0.384615384615385,4.46153846153846
7,75,"C","L","Lo",99.2564102564103,65.2564102564103,16.6179487179487,5.59487179487179,17.0769230769231,0.281025641025641,5.05128205128205
7,76,"L","E","Hi",59.8913043478261,25.8913043478261,19.5608695652174,5.80869565217391,19.9565217391304,0.452391304347826,3.95652173913043
7,80,"C","E","Lo",114.113636363636,80.1136363636364,16.3204545454545,6.07954545454545,16.6818181818182,0.269318181818182,5.04545454545455
7,81,"C","L","Hi",64.7755102040816,30.7755102040816,17.8,5.22448979591837,18.2795918367347,0.340612244897959,3.95918367346939
7,82,"L","L","Lo",63.8421052631579,29.8421052631579,18.9578947368421,5.37368421052632,19.2736842105263,0.396842105263158,4.05263157894737
7,83,"C","E","Hi",59.1219512195122,25.1219512195122,17.7658536585366,4.55853658536585,18.2536585365854,0.350243902439024,3.78048780487805
7,84,"L","L","Hi",47.5384615384615,13.5384615384615,21.4230769230769,6.87692307692308,22.0384615384615,0.620769230769231,4.69230769230769
8,86,"L","E","Hi",45.4210526315789,11.4210526315789,20.5578947368421,6.17368421052632,21.1578947368421,0.520526315789474,5.21052631578947
8,87,"C","E","Hi",50.8888888888889,16.8888888888889,18.1422222222222,5.04444444444444,18.46,0.369777777777778,3.82222222222222
8,88,"C","L","Lo",75.7209302325581,41.7209302325581,17.8023255813953,5.40232558139535,17.9162790697674,0.339767441860465,4.06976744186047
8,90,"C","E","Lo",64.3333333333333,30.3333333333333,19.0928571428571,5.26666666666667,19.2333333333333,0.42952380952381,4.26190476190476
8,91,"L","E","Lo",48.25,14.25,22.125,8.6,23.3,0.75,5.75
8,92,"L","L","Hi",47.1282051282051,13.1282051282051,19.0769230769231,5.61282051282051,19.3538461538462,0.416153846153846,3.87179487179487
8,94,"C","L","Hi",51.7272727272727,17.7272727272727,18.1159090909091,5.21363636363636,18.475,0.371818181818182,4.02272727272727
8,96,"L","L","Lo",44.9090909090909,10.9090909090909,21.5818181818182,7.21818181818182,21.9454545454545,0.641818181818182,5.09090909090909
